	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	92.9	93.4	93.0	91.5	94.3	79.5	94.2	82.3	91.5	88.3	94.1	91.0	94.3	93.7	94.5	93.9	93.3	92.9	90.2	90.9	89.7	90.7	94.0	92.3	94.9	94.6	93.9	88.0	86.9	92.7	93.9	94.0	94.4	94.2	86.3	90.8	91.4	91.5	85.0	93.7	81.5	79.1	89.1	80.0	86.2	83.7	81.1	88.1	79.9	83.6	84.2	78.1	87.8	75.6	83.5	61.2	83.4	68.5	82.4	72.4
'2	4.6	4.3	4.7	5.3	3.1	7.5	3.4	6.6	4.8	5.0	4.4	3.8	3.6	4.3	3.7	4.7	4.2	4.2	5.6	4.3	6.2	5.4	3.6	3.8	3.8	4.0	4.4	5.1	6.2	4.1	4.5	4.7	4.2	3.8	7.7	5.1	5.0	4.9	5.8	4.8	7.1	7.1	5.3	6.3	5.7	6.1	6.9	4.7	8.7	6.4	6.9	9.1	4.7	8.8	7.1	17.3	7.9	14.8	8.2	9.6
'3	1.0	1.1	0.8	0.9	0.6	1.9	1.1	1.3	0.6	1.3	0.8	0.8	1.3	0.9	0.3	0.6	0.8	1.2	0.6	1.1	1.7	0.8	1.1	1.1	0.8	0.6	0.6	1.3	2.1	1.0	0.5	0.6	0.6	1.1	1.2	1.5	1.2	1.1	2.3	0.6	3.8	1.7	1.5	3.1	1.7	2.3	2.3	2.0	2.6	1.9	1.6	2.3	1.9	4.2	1.3	4.6	2.6	4.0	2.1	2.9
'4	0.2	0.4	1.0	0.0	0.2	0.9	0.0	0.6	0.0	0.6	0.0	0.4	0.0	0.4	0.0	0.0	0.8	0.6	0.8	0.0	0.2	0.2	0.0	0.8	0.2	0.0	0.0	0.4	0.6	0.4	0.2	0.0	0.0	0.0	0.8	0.4	0.5	0.3	0.9	0.0	1.3	1.7	0.8	0.8	0.5	0.9	0.8	0.5	1.5	0.6	0.6	0.8	1.3	1.6	0.7	1.3	1.0	1.1	0.9	1.2
'5	0.0	0.0	0.0	0.0	0.0	0.9	0.0	1.0	0.3	0.7	0.3	0.0	0.0	0.0	0.0	0.3	0.3	0.3	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.3	0.3	0.5	0.2	0.0	0.3	0.3	0.3	0.0	0.0	0.2	0.4	0.2	0.2	0.3	0.4	0.5	0.0	0.2	0.6	0.5	0.2	0.4	0.5	0.2	0.2	0.0	0.4	0.3	0.6	0.2	0.0	0.8	0.4	2.1
'6	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.2	0.0	0.0	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.3	0.6	0.0	0.0	0.0	0.0	0.3	0.3	0.2	0.0	0.2	0.5	0.0	0.2	0.4	0.0	0.2	0.2	0.2	0.0	0.2	0.8	0.2	0.2	0.0	0.2	1.0	0.0	0.4	0.0	0.2	0.0	0.2
'7	0.0	0.0	0.4	0.0	0.4	0.8	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.0	0.8	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.7	0.3	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.3	0.3	0.0	0.3	0.2	0.0	0.7	0.3	0.0	0.5	0.0	0.0	0.5	0.5	0.0	0.0	0.7	0.3	0.3	0.3	0.0	0.0	0.4
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.0	0.0	0.4	0.0	0.4	0.4	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4	0.4	0.4	0.4	0.4	0.0	0.0	0.0	0.0	0.4	0.4	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.5
'9	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	1.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.8	0.0	0.0	0.0	0.4	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0
11-15	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6	1.0	1.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.5	0.0	0.5	0.9	0.8	0.0	0.4
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.3	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
